StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,Q1,Q2,Q3,Q4,Q5,Q1,Q1_7_TEXT,Q2,Q2.1,Q3,Q3_9_TEXT,Q4,Q4.1,Q4.1_5_TEXT,Q4.2,Q4.2_5_TEXT,Q1,Q1_8_TEXT,Q2,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q2_8_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q1,Q2,Q2.1,Q3,Q3_7_TEXT,Q4,SC0
28/3/2026 7:36,28/3/2026 7:38,IP Address,125.63.8.8,100,140,TRUE,28/3/2026 7:38,R_9i29QIMul9Iu0S2,-37.8159,144.9669,anonymous,Student,With roommates,Less than 3 months,"No, I Don't know them at all",Sometimes,Do it myself,,Never,,"Feel uncomfortable asking,No quick response",,Rarely,,,,,User ratings/reviews,,Left,5,5,3,3,3,3,"Badges,Progress bars / levels,Reputation score",,4,4,3,4,Very useful,Probably would use,,"Safety,Privacy",,,1
28/3/2026 7:36,28/3/2026 7:42,IP Address,125.63.8.8,100,357,TRUE,28/3/2026 7:42,R_4E5zEN7YHTQnzJj,-37.8159,144.9669,anonymous,Student,With roommates,6-12 months,"No, I Don't know them at all",Often,"Ask friends,Use social media (e.g., Facebook groups),Use messaging apps (e.g., WhatsApp, WeChat),Do it myself,Give up / delay",,Rarely,,"Don't know who to ask,Afraid of bothering others,Lack of trust,Language barrier",,"Yes, occasionally",WhatsApp / WeChat groups,,"Easy to use,Fast responses,Convenient",,"User ratings/reviews,Identity verification,In-app chat,Location-based matching,Task categorisation,Profile information,Request tracking/status,All of above",,Left,5,4,4,4,4,4,"Badges,Verified helper status,Community recognition",,4,4,4,4,Somewhat useful,Probably would use,,"Safety,Privacy,Time commitment,Reliability of users",,,1
28/3/2026 7:44,28/3/2026 7:53,IP Address,43.227.109.203,100,566,TRUE,28/3/2026 7:53,R_4Ve4ENvGCqnLzjP,-37.8159,144.9669,anonymous,Student,Living alone,1-3 years,"No, I Don't know them at all",Sometimes,"Ask friends,Ask family,Use social media (e.g., Facebook groups),Use messaging apps (e.g., WhatsApp, WeChat)",,"Yes, occasionally","Lending items,Giving advice,Helping with tasks (moving, errands),Emotional support","Don't know who to ask,Feel uncomfortable asking,Afraid of bothering others,Language barrier",,"Yes, frequently",WhatsApp / WeChat groups,,"Easy to use,Fast responses,Large community",,"User ratings/reviews,Identity verification,Location-based matching,Request tracking/status",,Left,3,4,5,4,5,3,"Points,Reputation score,Small rewards or perks",,4,5,4,4,Very useful,Definitely would use,,"Safety,Privacy,Scams/fraud,Reliability of users",,,1
28/3/2026 8:55,28/3/2026 9:00,IP Address,175.33.125.68,100,269,TRUE,28/3/2026 9:00,R_9DSnTQ7D0Z95pCS,-37.8846,145.1373,anonymous,Student,With family,More than 3 years,I've seen them but Don't interact,Sometimes,"Ask friends,Ask family,Use social media (e.g., Facebook groups),Use messaging apps (e.g., WhatsApp, WeChat),Do it myself",,"Yes, frequently","Giving advice,Helping with tasks (moving, errands),Emotional support",Afraid of bothering others,,Rarely,,,,,"Task categorisation,Request tracking/status",,Left,4,4,4,4,4,4,"Badges,Progress bars / levels,Reputation score",,5,3,5,4,Somewhat useful,Not sure,,"Safety,Privacy,Scams/fraud,Reliability of users",,,1
29/3/2026 0:40,29/3/2026 0:44,IP Address,103.100.227.143,100,273,TRUE,29/3/2026 0:44,R_4JqkuitewEZzZIt,-37.8178,144.9859,anonymous,Student,Student accommodation,1-3 years,"Yes, I know them well",Never,"Ask friends,Use social media (e.g., Facebook groups),Do it myself",,Rarely,,Never experienced difficulty,,Rarely,,,,,All of above,,Right,3,2,3,4,2,4,"Verified helper status,Community recognition,Small rewards or perks",,2,3,1,3,Not very useful,Probably would use,"Maybe, if I can get help in return for helping others.",Reliability of users,,,1
29/3/2026 0:38,29/3/2026 0:45,IP Address,203.27.47.150,100,444,TRUE,29/3/2026 0:45,R_4BVKb4HOZhcSvPx,-37.8159,144.9669,anonymous,Unemployed,With roommates,Less than 3 months,I've seen them but Don't interact,Sometimes,Do it myself,,"Yes, occasionally","Helping with tasks (moving, errands)",Afraid of bothering others,,"Yes, occasionally","Facebook groups,WhatsApp / WeChat groups",,"Large community,Convenient",,"Identity verification,In-app chat,Location-based matching,Task categorisation,Profile information,Request tracking/status",,Left,4,3,5,4,3,5,Small rewards or perks,,4,3,3,4,Very useful,Definitely would use,,"Safety,Privacy,Scams/fraud,Reliability of users",,,
28/3/2026 7:24,29/3/2026 1:42,IP Address,180.233.125.147,100,65877,TRUE,29/3/2026 1:42,R_92tjX39uOI6x3cS,-33.973,151.2375,anonymous,Student,With roommates,1-3 years,"No, I Don't know them at all",Often,Other,pay someone,"Yes, occasionally","Helping with tasks (moving, errands)","Don't know who to ask,Feel uncomfortable asking,Safety concerns,No quick response",,Rarely,,,,,All of above,,,4,3,4,2,,4,"Progress bars / levels,Verified helper status,Community recognition",,4,4,4,4,Very useful,Definitely would use,,Privacy,,,1
29/3/2026 1:55,29/3/2026 1:58,IP Address,113.84.1.27,100,216,TRUE,29/3/2026 1:58,R_1JI6vvSfGkdwbEA,22.5455,114.0683,anonymous,Employed,Living alone,Less than 3 months,I've seen them but Don't interact,Often,"Ask friends,Do it myself",,Rarely,,"Don't know who to ask,Afraid of bothering others,Safety concerns,Lack of trust",,"Yes, occasionally","Facebook groups,WhatsApp / WeChat groups",,"Easy to use,Large community",,"Identity verification,In-app chat,Request tracking/status",,Right,4,2,3,2,2,2,"Progress bars / levels,Verified helper status,Small rewards or perks",,5,2,3,2,Very useful,Definitely would use,,"Privacy,Scams/fraud",,,1
29/3/2026 2:43,29/3/2026 2:45,IP Address,180.181.249.190,100,164,TRUE,29/3/2026 2:45,R_4CIY1uc0iZj3Zgx,-37.8201,145.0528,anonymous,Student,Living alone,3-6 months,I've seen them but Don't interact,Sometimes,"Ask friends,Ask family,Do it myself",,Never,,"Afraid of bothering others,Safety concerns",,Never,,,,,"Identity verification,In-app chat,Profile information",,Left,4,3,3,4,3,3,"Points,Progress bars / levels,Small rewards or perks",,4,3,3,4,Somewhat useful,Probably would use,,"Safety,Privacy,Scams/fraud",,,1
30/3/2026 5:14,30/3/2026 5:25,IP Address,180.233.125.147,100,677,TRUE,30/3/2026 5:25,R_9hEz93SLbFTAtGU,-33.973,151.2375,anonymous,Student,With roommates,1-3 years,"No, I Don't know them at all",Often,"Ask friends,Ask family",,Rarely,,"Don't know who to ask,Afraid of bothering others,Safety concerns,Lack of trust",,Rarely,,,,,"User ratings/reviews,Identity verification",,Left,3,5,4,4,5,5,"Points,Badges,Small rewards or perks",,5,4,,3,Very useful,Definitely would use,yes,"Safety,Privacy,Scams/fraud,Reliability of users",,no,1
29/3/2026 0:40,29/3/2026 0:42,IP Address,103.100.227.143,24,122,FALSE,5/4/2026 0:42,R_4HBomG5ISIaZXsB,-37.8178,144.9859,anonymous,Student,Student accommodation,1-3 years,"Yes, I know them well",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
